influencer_id,name,followers,region,profile_url,profile_avg_views,profile_avg_likes,profile_avg_comments,profile_avg_saves,profile_post_count,profile_views_estimated,profile_post1_views,profile_post1_likes,profile_post1_comments,profile_post1_saves,profile_post1_url,profile_post2_views,profile_post2_likes,profile_post2_comments,profile_post2_saves,profile_post2_url,profile_post3_views,profile_post3_likes,profile_post3_comments,profile_post3_saves,profile_post3_url,campaign_est_views,campaign_stored_views,campaign_likes,campaign_comments,campaign_saves,campaign_post_count,campaign_url,split
5efe6020-00c1-4f74-9cab-da1a4bcfb11e,zlinshan,,,https://www.xiaohongshu.com/user/profile/5d1639430000000016038ef5,1028,11,2,6,3,1,1000,11,1,6,https://www.xiaohongshu.com/explore/6a913c490000000003028059,1167,11,3,5,https://www.xiaohongshu.com/explore/6a902e97000000002501f16c,917,10,1,6,https://www.xiaohongshu.com/explore/6a8e5c40000000000303c158,2667,640,29,3,11,1,https://xhslink.cn/o/6syVnsdrOPX,train
6041fbb2-dba3-42d0-9b0d-397d1f7d8805,ddu,,,https://www.xiaohongshu.com/user/profile/692eb286000000000300c13f,2056,23,1,8,3,1,3667,42,2,19,https://www.xiaohongshu.com/explore/6a9a954d0000000019027c84,1083,12,1,2,https://www.xiaohongshu.com/explore/6a94dcf300000000370355fe,1417,16,1,4,https://www.xiaohongshu.com/explore/6a8d0a6e00000000370345b0,1000,1000,12,0,1,1,https://www.xiaohongshu.com/discovery/item/6a7ed4b20000000008009c00?source=webshare&xhsshare=pc_web&xsec_token=CBY8KoHCmkyl7CXEG1kDPB_MEibuPip7sQsp7NfVcbl98=&xsec_source=pc_share,train
6d8ac714-7b99-4f16-958a-299cfa47d150,ㅅㅅ7,3420,,https://www.xiaohongshu.com/user/profile/5d1c8a62000000001203c8b5,3861,42,4,20,3,1,2417,23,6,18,https://www.xiaohongshu.com/explore/6a9e10f7000000000b001d19,6333,73,3,32,https://www.xiaohongshu.com/explore/6a9958120000000026032ef8,2833,30,4,9,https://www.xiaohongshu.com/explore/6a98fea1000000000b00d79a,1917,460,20,3,7,1,https://www.xiaohongshu.com/discovery/item/6a7e758e0000000033012d3a?source=webshare&xhsshare=pc_web&xsec_token=CBG27HHOhbqw5Mm01izZ_kfSe6tYgjeTaJSb3MApC2AqI=&xsec_source=pc_share,train
2cbb2f75-9d9c-469e-b458-a84cc3dc7907,31,1442,,https://www.xiaohongshu.com/user/profile/5a6ebe8611be1023f8abc01d,1056,12,1,5,3,1,1167,13,1,4,https://www.xiaohongshu.com/explore/6a804ebb0000000025015b56,1333,14,2,7,https://www.xiaohongshu.com/explore/6a78617d000000002803370d,667,8,0,3,https://www.xiaohongshu.com/explore/6a684007000000001c011d08,1167,280,13,1,4,1,https://www.xiaohongshu.com/discovery/item/6a804ebb0000000025015b56?source=webshare&xhsshare=pc_web&xsec_token=CB-CLOFLSUpx-CkdBT-P671FUlY6z8dHsQbrCto9zb628=&xsec_source=pc_share,train
f247f09f-b0c9-45d8-80fb-262f50a19ba2,momo,10685,,https://www.xiaohongshu.com/user/profile/606e56b40000000001000aa5,4417,53,0,7,3,1,4500,54,0,3,https://www.xiaohongshu.com/explore/6a9aa7d70000000026039e3e,4250,51,0,2,https://www.xiaohongshu.com/explore/6a9966b2000000000b00df23,4500,53,1,15,https://www.xiaohongshu.com/explore/6a96675100000000260395ce,9083,2180,104,5,26,1,https://www.xiaohongshu.com/discovery/item/6a7c3f3a0000000028000d16?source=webshare&xhsshare=pc_web&xsec_token=CBn5TvpDSWTExftt1SWf9wSBduyOfJoS_HggZib_dNvCg=&xsec_source=pc_share,train
5bdd8e96-9758-468b-8494-ac3300ad3fd3,A cup world,4386,,https://www.xiaohongshu.com/user/profile/5e8fc76a00000000010033a2,861,10,0,4,3,1,1167,14,0,4,https://www.xiaohongshu.com/explore/6a9cbf35000000002601c928,250,3,0,2,https://www.xiaohongshu.com/explore/6a9a7f5c000000002b01286b,1167,14,0,5,https://www.xiaohongshu.com/explore/6a98caf3000000002a02719a,1250,300,15,0,3,1,https://www.xiaohongshu.com/discovery/item/6a840552000000003302d5d2?source=webshare&xhsshare=pc_web&xsec_token=CBm6y9OKrr6zLoPHBQdBOKHWH7HKnpyH6Q6YXKoZPCFoM=&xsec_source=pc_share,train
7ae5d2e1-c508-4a9e-b051-e95b8d082e64,zhangliang,,,https://www.xiaohongshu.com/user/profile/656475be0000000002028b65,2417,26,3,16,3,1,1917,18,5,16,https://www.xiaohongshu.com/explore/6a94fe060000000037032f26,2333,28,0,14,https://www.xiaohongshu.com/explore/6a94291d0000000037031c1e,3000,32,4,17,https://www.xiaohongshu.com/explore/6a93dd830000000004036545,2500,600,30,0,14,1,https://www.xiaohongshu.com/discovery/item/6a7edeb60000000026034608?source=webshare&xhsshare=pc_web&xsec_token=ABVlxcdKV5pPtBB4yejzvtv0JShce3yLcI32bv9i5woPE=&xsec_source=pc_share,train
07d2c002-22d6-4ab6-9683-765b397d6bd8,韩妃子,10268,,https://www.xiaohongshu.com/user/profile/5571ad5e33f60c0bd4b979f0,1139,13,1,2,3,1,2833,34,0,3,https://www.xiaohongshu.com/explore/6a92fe8d0000000006012f05,250,3,0,1,https://www.xiaohongshu.com/explore/6a926a0d00000000200386df,333,2,2,1,https://www.xiaohongshu.com/explore/6a91348b000000001f0051ed,1583,380,17,2,3,1,https://www.xiaohongshu.com/discovery/item/6a844494000000003302c92e?source=webshare&xhsshare=pc_web&xsec_token=CBVWzkViEBci1ut6nxd7cPNHNQYZyb-12XwVh32WOtRR4=&xsec_source=pc_share,train
47f42cba-fd64-42de-b17e-be6c45e9d47c,在韩여니恩尼,2487,,https://www.xiaohongshu.com/user/profile/5b3de7f24eacab0d8f2c371a,917,7,4,7,3,1,1333,10,6,10,https://www.xiaohongshu.com/explore/6aa11e35000000001901ff8a,1000,7,5,8,https://www.xiaohongshu.com/explore/6aa0d832000000000d009983,417,5,0,2,https://www.xiaohongshu.com/explore/6a9fbf5a000000001401c7cb,5667,1360,67,1,6,1,https://www.xiaohongshu.com/discovery/item/6a7da91d0000000010007553?source=webshare&xhsshare=pc_web&xsec_token=CBXKz2n9-SFiFzn2AM1Iw-qfBppuwQKdVwOvS0ccZ5KgI=&xsec_source=pc_share,train
b7925e99-136b-4117-8177-9a4affc31e1b,时间暂停,1267,,https://www.xiaohongshu.com/user/profile/60859e0800000000010051bc,2944,35,1,11,3,1,3333,38,2,15,https://www.xiaohongshu.com/explore/6a844f990000000022012c2e,2917,35,0,8,https://www.xiaohongshu.com/explore/6a7d272a0000000022012b85,2583,31,0,10,https://www.xiaohongshu.com/explore/6a7b0af30000000032020888,2917,700,35,0,8,1,https://www.xiaohongshu.com/discovery/item/6a7d272a0000000022012b85?source=webshare&xhsshare=pc_web&xsec_token=CBoWeEjzKSasnjH23UZbYsa2Ly1s32sfTNF5XB8LnSnaE=&xsec_source=pc_share,train
333e2bcf-7861-4667-86be-7858cefdd896,桥本川页,2822,,https://www.xiaohongshu.com/user/profile/597da17482ec394320fd68cf,667,7,1,5,3,1,417,4,1,3,https://www.xiaohongshu.com/explore/6a9ce34f000000002802d604,750,9,0,6,https://www.xiaohongshu.com/explore/6a9cb5640000000025036d59,833,9,1,5,https://www.xiaohongshu.com/explore/6a9afb34000000002802fe5a,1083,260,12,1,2,1,https://www.xiaohongshu.com/discovery/item/6a7f21af0000000005028376?source=webshare&xhsshare=pc_web&xsec_token=CBkR3CTgRHC3YPpCzkTiSY5zY5XhpA7MZQOOqv180dmzY=&xsec_source=pc_share,train
ecad0d2c-ecb2-45cb-9b78-84c02a7f36ee,小雨baby在韩国,5484,,https://www.xiaohongshu.com/user/profile/62cab481000000000e00df3f,2056,4,21,1,3,1,500,4,2,1,https://www.xiaohongshu.com/explore/6a9a21a7000000002603191b,3500,4,38,0,https://www.xiaohongshu.com/explore/6a98c3da000000002a00645c,2167,3,23,2,https://www.xiaohongshu.com/explore/6a97d599000000002600828d,1417,340,17,0,4,1,https://www.xiaohongshu.com/discovery/item/6a7eca6e000000002202d56f?source=webshare&xhsshare=pc_web&xsec_token=CBdLTtctmgabNIJVMtTAmGrkhq5ASN-3ei4NujGEtaAjI=&xsec_source=pc_share,train
